Sample	cat16-58.trees	cat16-58.sequence04_sequence14_sequence11_sequence09	cat16-58.sequence01_sequence04_sequence14_sequence07_sequence11_sequence16_sequence09_sequence10_sequence06	
231	30.0	1.0	1.0	
232	30.0	1.0	1.0	
233	30.0	1.0	1.0	
234	30.0	1.0	1.0	
235	30.0	1.0	1.0	
236	30.0	1.0	1.0	
237	30.0	1.0	1.0	
238	30.0	1.0	1.0	
239	30.0	1.0	1.0	
240	30.0	1.0	1.0	
241	30.0	1.0	1.0	
242	30.0	1.0	1.0	
243	30.0	1.0	1.0	
244	30.0	1.0	1.0	
245	30.0	1.0	1.0	
246	30.0	1.0	1.0	
247	30.0	1.0	1.0	
248	30.0	1.0	1.0	
249	30.0	1.0	1.0	
250	30.0	1.0	1.0	
251	30.0	1.0	1.0	
252	30.0	1.0	1.0	
253	30.0	1.0	1.0	
254	30.0	1.0	1.0	
255	30.0	1.0	1.0	
256	30.0	1.0	1.0	
257	30.0	1.0	1.0	
258	30.0	1.0	1.0	
259	30.0	1.0	1.0	
260	30.0	1.0	1.0	
261	30.0	1.0	1.0	
262	30.0	1.0	1.0	
263	30.0	1.0	1.0	
264	30.0	1.0	1.0	
265	30.0	1.0	1.0	
266	30.0	1.0	1.0	
267	30.0	1.0	1.0	
268	30.0	1.0	1.0	
269	30.0	1.0	1.0	
270	30.0	1.0	1.0	
271	30.0	1.0	1.0	
272	30.0	1.0	1.0	
273	30.0	1.0	1.0	
274	30.0	1.0	1.0	
275	30.0	1.0	1.0	
276	30.0	1.0	1.0	
277	30.0	1.0	1.0	
278	30.0	1.0	1.0	
279	30.0	1.0	1.0	
280	30.0	1.0	1.0	
281	30.0	1.0	1.0	
282	30.0	1.0	1.0	
283	30.0	1.0	1.0	
284	30.0	1.0	1.0	
285	30.0	1.0	1.0	
286	30.0	1.0	1.0	
287	30.0	1.0	1.0	
288	30.0	1.0	1.0	
289	30.0	1.0	1.0	
290	30.0	1.0	1.0	
291	30.0	1.0	1.0	
292	30.0	1.0	1.0	
293	30.0	1.0	1.0	
294	30.0	1.0	1.0	
295	30.0	1.0	1.0	
296	30.0	1.0	1.0	
297	30.0	1.0	1.0	
298	30.0	1.0	1.0	
299	30.0	1.0	1.0	
300	30.0	1.0	1.0	
301	30.0	1.0	1.0	
302	30.0	1.0	1.0	
303	30.0	1.0	1.0	
304	30.0	1.0	1.0	
305	30.0	1.0	1.0	
306	30.0	1.0	1.0	
307	30.0	1.0	1.0	
308	30.0	1.0	1.0	
309	30.0	1.0	1.0	
310	30.0	1.0	1.0	
311	30.0	1.0	1.0	
312	30.0	1.0	1.0	
313	30.0	1.0	1.0	
314	30.0	1.0	1.0	
315	30.0	1.0	1.0	
316	30.0	1.0	1.0	
317	30.0	1.0	1.0	
318	30.0	1.0	1.0	
319	30.0	1.0	1.0	
320	30.0	1.0	1.0	
321	30.0	1.0	1.0	
322	30.0	1.0	1.0	
323	30.0	1.0	1.0	
324	30.0	1.0	1.0	
325	30.0	1.0	1.0	
326	30.0	1.0	1.0	
327	30.0	1.0	1.0	
328	30.0	1.0	1.0	
329	30.0	1.0	1.0	
330	30.0	1.0	1.0	
331	30.0	1.0	1.0	
332	30.0	1.0	1.0	
333	30.0	1.0	1.0	
334	30.0	1.0	1.0	
335	30.0	1.0	1.0	
336	30.0	1.0	1.0	
337	30.0	1.0	1.0	
338	30.0	1.0	1.0	
339	30.0	1.0	1.0	
340	30.0	1.0	1.0	
341	30.0	1.0	1.0	
342	30.0	1.0	1.0	
343	30.0	1.0	1.0	
344	30.0	1.0	1.0	
345	30.0	1.0	1.0	
346	30.0	1.0	1.0	
347	30.0	1.0	1.0	
348	30.0	1.0	1.0	
349	30.0	1.0	1.0	
350	30.0	1.0	1.0	
351	30.0	1.0	1.0	
352	30.0	1.0	1.0	
353	30.0	1.0	1.0	
354	30.0	1.0	1.0	
355	30.0	1.0	1.0	
356	30.0	1.0	1.0	
357	30.0	1.0	1.0	
358	30.0	1.0	1.0	
359	30.0	1.0	1.0	
360	30.0	1.0	1.0	
361	30.0	1.0	1.0	
362	30.0	1.0	1.0	
363	30.0	1.0	1.0	
364	30.0	1.0	1.0	
365	30.0	1.0	1.0	
366	30.0	1.0	1.0	
367	30.0	1.0	1.0	
368	30.0	1.0	1.0	
369	30.0	1.0	1.0	
370	30.0	1.0	1.0	
371	30.0	1.0	1.0	
372	30.0	1.0	1.0	
373	30.0	1.0	1.0	
374	30.0	1.0	1.0	
375	30.0	1.0	1.0	
376	30.0	1.0	1.0	
377	30.0	1.0	1.0	
378	30.0	1.0	1.0	
379	30.0	1.0	1.0	
380	30.0	1.0	1.0	
381	30.0	1.0	1.0	
382	30.0	1.0	1.0	
383	30.0	1.0	1.0	
384	30.0	1.0	1.0	
385	30.0	1.0	1.0	
386	30.0	1.0	1.0	
387	30.0	1.0	1.0	
388	30.0	1.0	1.0	
389	30.0	1.0	1.0	
390	30.0	1.0	1.0	
391	30.0	1.0	1.0	
392	30.0	1.0	1.0	
393	30.0	1.0	1.0	
394	30.0	1.0	1.0	
395	30.0	1.0	1.0	
396	30.0	1.0	1.0	
397	30.0	1.0	1.0	
398	30.0	1.0	1.0	
399	30.0	1.0	1.0	
400	30.0	1.0	1.0	
401	30.0	1.0	1.0	
402	30.0	1.0	1.0	
403	30.0	1.0	1.0	
404	30.0	1.0	1.0	
405	30.0	1.0	1.0	
406	30.0	1.0	1.0	
407	30.0	1.0	1.0	
408	30.0	1.0	1.0	
409	30.0	1.0	1.0	
410	30.0	1.0	1.0	
411	30.0	1.0	1.0	
412	30.0	1.0	1.0	
413	30.0	1.0	1.0	
414	30.0	1.0	1.0	
415	30.0	1.0	1.0	
416	30.0	1.0	1.0	
417	30.0	1.0	1.0	
418	30.0	1.0	1.0	
419	30.0	1.0	1.0	
420	30.0	1.0	1.0	
421	30.0	1.0	1.0	
422	30.0	1.0	1.0	
423	30.0	1.0	1.0	
424	30.0	1.0	1.0	
425	30.0	1.0	1.0	
426	30.0	1.0	1.0	
427	30.0	1.0	1.0	
428	30.0	1.0	1.0	
429	30.0	1.0	1.0	
430	30.0	1.0	1.0	
431	30.0	1.0	1.0	
432	30.0	1.0	1.0	
433	30.0	1.0	1.0	
434	30.0	1.0	1.0	
435	30.0	1.0	1.0	
436	30.0	1.0	1.0	
437	30.0	1.0	1.0	
438	30.0	1.0	1.0	
439	30.0	1.0	1.0	
440	30.0	1.0	1.0	
441	30.0	1.0	1.0	
442	30.0	1.0	1.0	
443	30.0	1.0	1.0	
444	30.0	1.0	1.0	
445	30.0	1.0	1.0	
446	30.0	1.0	1.0	
447	30.0	1.0	1.0	
448	30.0	1.0	1.0	
449	30.0	1.0	1.0	
450	30.0	1.0	1.0	
451	30.0	1.0	1.0	
452	30.0	1.0	1.0	
453	30.0	1.0	1.0	
454	30.0	1.0	1.0	
455	30.0	1.0	1.0	
456	30.0	1.0	1.0	
457	30.0	1.0	1.0	
458	30.0	1.0	1.0	
459	30.0	1.0	1.0	
460	30.0	1.0	1.0	
461	30.0	1.0	1.0	
462	28.0	0.0	1.0	
463	30.0	1.0	1.0	
464	30.0	1.0	1.0	
465	30.0	1.0	1.0	
466	30.0	1.0	1.0	
467	30.0	1.0	1.0	
468	30.0	1.0	1.0	
469	30.0	1.0	1.0	
470	30.0	1.0	1.0	
471	30.0	1.0	1.0	
472	30.0	1.0	1.0	
473	30.0	1.0	1.0	
474	30.0	1.0	1.0	
475	30.0	1.0	1.0	
476	30.0	1.0	1.0	
477	30.0	1.0	1.0	
478	30.0	1.0	1.0	
479	30.0	1.0	1.0	
480	30.0	1.0	1.0	
481	30.0	1.0	1.0	
482	30.0	1.0	1.0	
483	30.0	1.0	1.0	
484	30.0	1.0	1.0	
485	30.0	1.0	1.0	
486	30.0	1.0	1.0	
487	30.0	1.0	1.0	
488	30.0	1.0	1.0	
489	30.0	1.0	1.0	
490	30.0	1.0	1.0	
491	30.0	1.0	1.0	
492	30.0	1.0	1.0	
493	30.0	1.0	1.0	
494	30.0	1.0	1.0	
495	30.0	1.0	1.0	
496	30.0	1.0	1.0	
497	30.0	1.0	1.0	
498	30.0	1.0	1.0	
499	30.0	1.0	1.0	
500	30.0	1.0	1.0	
501	30.0	1.0	1.0	
502	30.0	1.0	1.0	
503	30.0	1.0	1.0	
504	30.0	1.0	1.0	
505	30.0	1.0	1.0	
506	30.0	1.0	1.0	
507	30.0	1.0	1.0	
508	30.0	1.0	1.0	
509	30.0	1.0	1.0	
510	30.0	1.0	1.0	
511	30.0	1.0	1.0	
512	30.0	1.0	1.0	
513	30.0	1.0	1.0	
514	30.0	1.0	1.0	
515	30.0	1.0	1.0	
516	30.0	1.0	1.0	
517	30.0	1.0	1.0	
518	30.0	1.0	1.0	
519	30.0	1.0	1.0	
520	30.0	1.0	1.0	
521	30.0	1.0	1.0	
522	30.0	1.0	1.0	
523	30.0	1.0	1.0	
524	30.0	1.0	1.0	
525	30.0	1.0	1.0	
526	30.0	1.0	1.0	
527	30.0	1.0	1.0	
528	30.0	1.0	1.0	
529	30.0	1.0	1.0	
530	30.0	1.0	1.0	
531	30.0	1.0	1.0	
532	30.0	1.0	1.0	
533	30.0	1.0	1.0	
534	30.0	1.0	1.0	
535	30.0	1.0	1.0	
536	30.0	1.0	1.0	
537	30.0	1.0	1.0	
538	30.0	1.0	1.0	
539	30.0	1.0	1.0	
540	30.0	1.0	1.0	
541	30.0	1.0	1.0	
542	30.0	1.0	1.0	
543	30.0	1.0	1.0	
544	30.0	1.0	1.0	
545	30.0	1.0	1.0	
546	30.0	1.0	1.0	
547	30.0	1.0	1.0	
548	30.0	1.0	1.0	
549	30.0	1.0	1.0	
550	30.0	1.0	1.0	
551	30.0	1.0	1.0	
552	30.0	1.0	1.0	
553	30.0	1.0	1.0	
554	30.0	1.0	1.0	
555	30.0	1.0	1.0	
556	30.0	1.0	1.0	
557	30.0	1.0	1.0	
558	30.0	1.0	1.0	
559	30.0	1.0	1.0	
560	30.0	1.0	1.0	
561	30.0	1.0	1.0	
562	30.0	1.0	1.0	
563	30.0	1.0	1.0	
564	30.0	1.0	1.0	
565	30.0	1.0	1.0	
566	30.0	1.0	1.0	
567	30.0	1.0	1.0	
568	30.0	1.0	1.0	
569	30.0	1.0	1.0	
570	30.0	1.0	1.0	
571	30.0	1.0	1.0	
572	30.0	1.0	1.0	
573	30.0	1.0	1.0	
574	30.0	1.0	1.0	
575	30.0	1.0	1.0	
576	30.0	1.0	1.0	
577	30.0	1.0	1.0	
578	30.0	1.0	1.0	
579	30.0	1.0	1.0	
580	30.0	1.0	1.0	
581	30.0	1.0	1.0	
582	30.0	1.0	1.0	
583	30.0	1.0	1.0	
584	30.0	1.0	1.0	
585	30.0	1.0	1.0	
586	30.0	1.0	1.0	
587	30.0	1.0	1.0	
588	30.0	1.0	1.0	
589	30.0	1.0	1.0	
590	30.0	1.0	1.0	
591	30.0	1.0	1.0	
592	30.0	1.0	1.0	
593	30.0	1.0	1.0	
594	30.0	1.0	1.0	
595	30.0	1.0	1.0	
596	30.0	1.0	1.0	
597	30.0	1.0	1.0	
598	30.0	1.0	1.0	
599	30.0	1.0	1.0	
600	30.0	1.0	1.0	
601	30.0	1.0	1.0	
602	30.0	1.0	1.0	
603	30.0	1.0	1.0	
604	30.0	1.0	1.0	
605	30.0	1.0	1.0	
606	30.0	1.0	1.0	
607	30.0	1.0	1.0	
608	30.0	1.0	1.0	
609	30.0	1.0	1.0	
610	30.0	1.0	1.0	
611	30.0	1.0	1.0	
612	30.0	1.0	1.0	
613	30.0	1.0	1.0	
614	30.0	1.0	1.0	
615	30.0	1.0	1.0	
616	30.0	1.0	1.0	
617	30.0	1.0	1.0	
618	30.0	1.0	1.0	
619	30.0	1.0	1.0	
620	30.0	1.0	1.0	
621	30.0	1.0	1.0	
622	30.0	1.0	1.0	
623	30.0	1.0	1.0	
624	30.0	1.0	1.0	
625	30.0	1.0	1.0	
626	30.0	1.0	1.0	
627	30.0	1.0	1.0	
628	30.0	1.0	1.0	
629	30.0	1.0	1.0	
630	30.0	1.0	1.0	
631	30.0	1.0	1.0	
632	30.0	1.0	1.0	
633	30.0	1.0	1.0	
634	30.0	1.0	1.0	
635	30.0	1.0	1.0	
636	30.0	1.0	1.0	
637	30.0	1.0	1.0	
638	30.0	1.0	1.0	
639	30.0	1.0	1.0	
640	30.0	1.0	1.0	
641	30.0	1.0	1.0	
642	30.0	1.0	1.0	
643	30.0	1.0	1.0	
644	30.0	1.0	1.0	
645	30.0	1.0	1.0	
646	30.0	1.0	1.0	
647	30.0	1.0	1.0	
648	30.0	1.0	1.0	
649	30.0	1.0	1.0	
650	30.0	1.0	1.0	
651	30.0	1.0	1.0	
652	30.0	1.0	1.0	
653	30.0	1.0	1.0	
654	30.0	1.0	1.0	
655	30.0	1.0	1.0	
656	30.0	1.0	1.0	
657	30.0	1.0	1.0	
658	30.0	1.0	1.0	
659	30.0	1.0	1.0	
660	30.0	1.0	1.0	
661	30.0	1.0	1.0	
662	30.0	1.0	1.0	
663	30.0	1.0	1.0	
664	30.0	1.0	1.0	
665	30.0	1.0	1.0	
666	30.0	1.0	1.0	
667	30.0	1.0	1.0	
668	30.0	1.0	1.0	
669	30.0	1.0	1.0	
670	30.0	1.0	1.0	
671	30.0	1.0	1.0	
672	30.0	1.0	1.0	
673	30.0	1.0	1.0	
674	30.0	1.0	1.0	
675	30.0	1.0	1.0	
676	30.0	1.0	1.0	
677	30.0	1.0	1.0	
678	30.0	1.0	1.0	
679	30.0	1.0	1.0	
680	30.0	1.0	1.0	
681	30.0	1.0	1.0	
682	30.0	1.0	1.0	
683	30.0	1.0	1.0	
684	30.0	1.0	1.0	
685	30.0	1.0	1.0	
686	30.0	1.0	1.0	
687	30.0	1.0	1.0	
688	30.0	1.0	1.0	
689	30.0	1.0	1.0	
690	30.0	1.0	1.0	
691	30.0	1.0	1.0	
692	30.0	1.0	1.0	
693	30.0	1.0	1.0	
694	30.0	1.0	1.0	
695	30.0	1.0	1.0	
696	30.0	1.0	1.0	
697	30.0	1.0	1.0	
698	30.0	1.0	1.0	
699	30.0	1.0	1.0	
700	30.0	1.0	1.0	
701	30.0	1.0	1.0	
702	30.0	1.0	1.0	
703	30.0	1.0	1.0	
704	30.0	1.0	1.0	
705	30.0	1.0	1.0	
706	30.0	1.0	1.0	
707	30.0	1.0	1.0	
708	30.0	1.0	1.0	
709	30.0	1.0	1.0	
710	30.0	1.0	1.0	
711	30.0	1.0	1.0	
712	30.0	1.0	1.0	
713	30.0	1.0	1.0	
714	30.0	1.0	1.0	
715	30.0	1.0	1.0	
716	30.0	1.0	1.0	
717	30.0	1.0	1.0	
718	30.0	1.0	1.0	
719	30.0	1.0	1.0	
720	30.0	1.0	1.0	
721	30.0	1.0	1.0	
722	30.0	1.0	1.0	
723	30.0	1.0	1.0	
724	30.0	1.0	1.0	
725	30.0	1.0	1.0	
726	30.0	1.0	1.0	
727	30.0	1.0	1.0	
728	30.0	1.0	1.0	
729	30.0	1.0	1.0	
730	30.0	1.0	1.0	
731	30.0	1.0	1.0	
732	30.0	1.0	1.0	
733	30.0	1.0	1.0	
734	30.0	1.0	1.0	
735	30.0	1.0	1.0	
736	30.0	1.0	1.0	
737	30.0	1.0	1.0	
738	30.0	1.0	1.0	
739	30.0	1.0	1.0	
740	30.0	1.0	1.0	
741	30.0	1.0	1.0	
742	30.0	1.0	1.0	
743	30.0	1.0	1.0	
744	30.0	1.0	1.0	
745	30.0	1.0	1.0	
746	30.0	1.0	1.0	
747	30.0	1.0	1.0	
748	30.0	1.0	1.0	
749	30.0	1.0	1.0	
750	30.0	1.0	1.0	
751	30.0	1.0	1.0	
752	30.0	1.0	1.0	
753	30.0	1.0	1.0	
754	30.0	1.0	1.0	
755	30.0	1.0	1.0	
756	30.0	1.0	1.0	
757	30.0	1.0	1.0	
758	30.0	1.0	1.0	
759	30.0	1.0	1.0	
760	30.0	1.0	1.0	
761	30.0	1.0	1.0	
762	30.0	1.0	1.0	
763	30.0	1.0	1.0	
764	30.0	1.0	1.0	
765	30.0	1.0	1.0	
766	30.0	1.0	1.0	
767	30.0	1.0	1.0	
768	30.0	1.0	1.0	
769	30.0	1.0	1.0	
770	30.0	1.0	1.0	
771	30.0	1.0	1.0	
772	30.0	1.0	1.0	
773	30.0	1.0	1.0	
774	30.0	1.0	1.0	
775	30.0	1.0	1.0	
776	30.0	1.0	1.0	
777	30.0	1.0	1.0	
778	30.0	1.0	1.0	
779	30.0	1.0	1.0	
780	30.0	1.0	1.0	
781	30.0	1.0	1.0	
782	30.0	1.0	1.0	
783	30.0	1.0	1.0	
784	30.0	1.0	1.0	
785	30.0	1.0	1.0	
786	30.0	1.0	1.0	
787	30.0	1.0	1.0	
788	30.0	1.0	1.0	
789	30.0	1.0	1.0	
790	30.0	1.0	1.0	
791	30.0	1.0	1.0	
792	30.0	1.0	1.0	
793	30.0	1.0	1.0	
794	30.0	1.0	1.0	
795	30.0	1.0	1.0	
796	30.0	1.0	1.0	
797	30.0	1.0	1.0	
798	30.0	1.0	1.0	
799	30.0	1.0	1.0	
800	30.0	1.0	1.0	
801	30.0	1.0	1.0	
802	30.0	1.0	1.0	
803	30.0	1.0	1.0	
804	30.0	1.0	1.0	
805	30.0	1.0	1.0	
806	30.0	1.0	1.0	
807	30.0	1.0	1.0	
808	30.0	1.0	1.0	
809	30.0	1.0	1.0	
810	30.0	1.0	1.0	
811	30.0	1.0	1.0	
812	30.0	1.0	1.0	
813	30.0	1.0	1.0	
814	30.0	1.0	1.0	
815	30.0	1.0	1.0	
816	30.0	1.0	1.0	
817	30.0	1.0	1.0	
818	30.0	1.0	1.0	
819	30.0	1.0	1.0	
820	30.0	1.0	1.0	
821	30.0	1.0	1.0	
822	30.0	1.0	1.0	
823	30.0	1.0	1.0	
824	30.0	1.0	1.0	
825	30.0	1.0	1.0	
826	30.0	1.0	1.0	
827	30.0	1.0	1.0	
828	30.0	1.0	1.0	
829	30.0	1.0	1.0	
830	30.0	1.0	1.0	
831	30.0	1.0	1.0	
832	30.0	1.0	1.0	
833	30.0	1.0	1.0	
834	30.0	1.0	1.0	
835	30.0	1.0	1.0	
836	30.0	1.0	1.0	
837	30.0	1.0	1.0	
838	30.0	1.0	1.0	
839	30.0	1.0	1.0	
840	30.0	1.0	1.0	
841	30.0	1.0	1.0	
842	30.0	1.0	1.0	
843	30.0	1.0	1.0	
844	30.0	1.0	1.0	
845	30.0	1.0	1.0	
846	30.0	1.0	1.0	
847	30.0	1.0	1.0	
848	30.0	1.0	1.0	
849	30.0	1.0	1.0	
850	30.0	1.0	1.0	
851	30.0	1.0	1.0	
852	30.0	1.0	1.0	
853	30.0	1.0	1.0	
854	30.0	1.0	1.0	
855	30.0	1.0	1.0	
856	30.0	1.0	1.0	
857	30.0	1.0	1.0	
858	30.0	1.0	1.0	
859	30.0	1.0	1.0	
860	30.0	1.0	1.0	
861	30.0	1.0	1.0	
862	30.0	1.0	1.0	
863	30.0	1.0	1.0	
864	30.0	1.0	1.0	
865	30.0	1.0	1.0	
866	30.0	1.0	1.0	
867	30.0	1.0	1.0	
868	30.0	1.0	1.0	
869	30.0	1.0	1.0	
870	30.0	1.0	1.0	
871	30.0	1.0	1.0	
872	30.0	1.0	1.0	
873	30.0	1.0	1.0	
874	30.0	1.0	1.0	
875	30.0	1.0	1.0	
876	30.0	1.0	1.0	
877	30.0	1.0	1.0	
878	30.0	1.0	1.0	
879	30.0	1.0	1.0	
880	30.0	1.0	1.0	
881	30.0	1.0	1.0	
882	30.0	1.0	1.0	
883	30.0	1.0	1.0	
884	30.0	1.0	1.0	
885	30.0	1.0	1.0	
886	30.0	1.0	1.0	
887	30.0	1.0	1.0	
888	30.0	1.0	1.0	
889	30.0	1.0	1.0	
890	30.0	1.0	1.0	
891	30.0	1.0	1.0	
892	30.0	1.0	1.0	
893	30.0	1.0	1.0	
894	30.0	1.0	1.0	
895	30.0	1.0	1.0	
896	30.0	1.0	1.0	
897	30.0	1.0	1.0	
898	30.0	1.0	1.0	
899	30.0	1.0	1.0	
